# Image list with two lines of data per image:
# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
# POINTS2D[] as (X, Y, POINT3D_ID)
1 0.732911 -0.611537 0.230278 -0.189304 -0.016770 0.004011 3.397487 1 images0001.ToneMapper.dst.1.RGBA.png

2 0.622972 -0.526974 0.439151 -0.375965 -0.011265 0.004169 3.419469 1 images0002.ToneMapper.dst.1.RGBA.png

3 0.459023 -0.382519 0.612527 -0.517482 -0.004225 0.013071 3.405054 1 images0003.ToneMapper.dst.1.RGBA.png

4 0.245468 -0.205388 0.722931 -0.612318 0.002740 0.011823 3.406310 1 images0004.ToneMapper.dst.1.RGBA.png

5 0.011135 -0.005679 0.763880 -0.645237 0.013175 0.007393 3.400156 1 images0005.ToneMapper.dst.1.RGBA.png

6 -0.228872 0.190465 0.731901 -0.612913 0.013220 0.000055 3.396789 1 images0006.ToneMapper.dst.1.RGBA.png

7 -0.444369 0.369817 0.624154 -0.525550 0.010762 -0.009320 3.397143 1 images0007.ToneMapper.dst.1.RGBA.png

8 0.615483 -0.514323 -0.454871 0.386969 0.000868 -0.015818 3.394033 1 images0008.ToneMapper.dst.1.RGBA.png

9 0.728318 -0.606256 -0.242339 0.208034 -0.006633 -0.013773 3.392483 1 images0009.ToneMapper.dst.1.RGBA.png

10 0.768225 -0.640079 -0.007340 0.008693 -0.013170 -0.006150 3.396529 1 images0010.ToneMapper.dst.1.RGBA.png

11 0.863427 -0.495707 0.081882 -0.045426 -0.013484 -0.006477 3.391899 1 images0011.ToneMapper.dst.1.RGBA.png

12 0.850610 -0.487334 0.171397 -0.097933 -0.012841 -0.003949 3.391264 1 images0012.ToneMapper.dst.1.RGBA.png

13 0.828205 -0.474665 0.258042 -0.148943 -0.012390 -0.001816 3.392015 1 images0013.ToneMapper.dst.1.RGBA.png

14 0.796676 -0.456364 0.343194 -0.198135 -0.012557 0.000932 3.390932 1 images0014.ToneMapper.dst.1.RGBA.png

15 0.756870 -0.432845 0.423395 -0.246030 -0.011175 0.003311 3.391671 1 images0015.ToneMapper.dst.1.RGBA.png

16 0.708504 -0.405112 0.499410 -0.290682 -0.010145 0.004465 3.395329 1 images0016.ToneMapper.dst.1.RGBA.png

17 0.652315 -0.371822 0.570323 -0.333114 -0.008761 0.005048 3.399010 1 images0017.ToneMapper.dst.1.RGBA.png

18 0.587928 -0.336648 0.635585 -0.370189 -0.007422 0.006223 3.404417 1 images0018.ToneMapper.dst.1.RGBA.png

19 0.517525 -0.297418 0.693316 -0.403762 -0.005583 0.006648 3.408203 1 images0019.ToneMapper.dst.1.RGBA.png

20 0.440796 -0.255043 0.743571 -0.433306 -0.004196 0.007412 3.410395 1 images0020.ToneMapper.dst.1.RGBA.png

21 0.360951 -0.208541 0.786196 -0.456203 -0.001024 0.008963 3.411875 1 images0021.ToneMapper.dst.1.RGBA.png

22 0.276590 -0.159560 0.819224 -0.476352 0.002256 0.009283 3.410528 1 images0022.ToneMapper.dst.1.RGBA.png

23 0.189877 -0.109108 0.844066 -0.489485 0.005862 0.008365 3.405664 1 images0023.ToneMapper.dst.1.RGBA.png

24 0.101961 -0.056730 0.859333 -0.497928 0.009865 0.007568 3.401750 1 images0024.ToneMapper.dst.1.RGBA.png

25 0.011057 -0.004826 0.865041 -0.501555 0.011511 0.004862 3.400046 1 images0025.ToneMapper.dst.1.RGBA.png

26 -0.079032 0.047500 0.861730 -0.498917 0.013160 0.002646 3.395725 1 images0026.ToneMapper.dst.1.RGBA.png

27 -0.168884 0.099097 0.848376 -0.491850 0.014428 -0.000187 3.394376 1 images0027.ToneMapper.dst.1.RGBA.png

28 -0.257094 0.149293 0.826088 -0.478741 0.014039 -0.001961 3.393524 1 images0028.ToneMapper.dst.1.RGBA.png

29 -0.342098 0.198179 0.795123 -0.459862 0.013082 -0.004684 3.391298 1 images0029.ToneMapper.dst.1.RGBA.png

30 -0.423874 0.244725 0.754585 -0.437083 0.011911 -0.007120 3.390740 1 images0030.ToneMapper.dst.1.RGBA.png

31 0.501250 -0.288288 -0.705441 0.409868 0.010151 -0.009544 3.390095 1 images0031.ToneMapper.dst.1.RGBA.png

32 0.572650 -0.329316 -0.648648 0.377994 0.007299 -0.011744 3.391043 1 images0032.ToneMapper.dst.1.RGBA.png

33 0.637665 -0.366614 -0.585390 0.341021 0.005593 -0.012976 3.391557 1 images0033.ToneMapper.dst.1.RGBA.png

34 0.695137 -0.400298 -0.516195 0.300148 0.003493 -0.014054 3.391054 1 images0034.ToneMapper.dst.1.RGBA.png

35 0.745959 -0.429085 -0.439733 0.257033 -0.000033 -0.014591 3.388688 1 images0035.ToneMapper.dst.1.RGBA.png

36 0.788533 -0.452555 -0.359594 0.210005 -0.002447 -0.013740 3.388198 1 images0036.ToneMapper.dst.1.RGBA.png

37 0.822190 -0.471254 -0.275544 0.161241 -0.005309 -0.013257 3.389936 1 images0037.ToneMapper.dst.1.RGBA.png

38 0.846436 -0.485478 -0.188888 0.110363 -0.007565 -0.012507 3.390112 1 images0038.ToneMapper.dst.1.RGBA.png

39 0.861481 -0.494487 -0.099322 0.058897 -0.010388 -0.011151 3.392102 1 images0039.ToneMapper.dst.1.RGBA.png

40 0.867492 -0.497334 -0.008355 0.006832 -0.013164 -0.008812 3.391045 1 images0040.ToneMapper.dst.1.RGBA.png

41 0.965730 -0.256300 0.039508 -0.010765 -0.011350 -0.007876 3.389247 1 images0041.ToneMapper.dst.1.RGBA.png

42 0.961885 -0.256926 0.090524 -0.023927 -0.012169 -0.007736 3.388481 1 images0042.ToneMapper.dst.1.RGBA.png

43 0.955908 -0.254955 0.140840 -0.037435 -0.012495 -0.006747 3.385662 1 images0043.ToneMapper.dst.1.RGBA.png

44 0.947260 -0.252748 0.190303 -0.051011 -0.013325 -0.006734 3.387828 1 images0044.ToneMapper.dst.1.RGBA.png

45 0.935899 -0.249726 0.240055 -0.064062 -0.013783 -0.005961 3.386372 1 images0045.ToneMapper.dst.1.RGBA.png

46 0.922384 -0.245447 0.288056 -0.077379 -0.012998 -0.005396 3.388325 1 images0046.ToneMapper.dst.1.RGBA.png

47 0.905967 -0.240936 0.336211 -0.090196 -0.013211 -0.004718 3.387325 1 images0047.ToneMapper.dst.1.RGBA.png

48 0.886869 -0.235570 0.383996 -0.102555 -0.013073 -0.003258 3.387754 1 images0048.ToneMapper.dst.1.RGBA.png

49 0.865595 -0.230057 0.429597 -0.115177 -0.012626 -0.002454 3.389990 1 images0049.ToneMapper.dst.1.RGBA.png

50 0.842359 -0.223807 0.473458 -0.127198 -0.013294 -0.001812 3.393795 1 images0050.ToneMapper.dst.1.RGBA.png

51 0.816139 -0.217186 0.517230 -0.138640 -0.012566 -0.000779 3.391202 1 images0051.ToneMapper.dst.1.RGBA.png

52 0.788364 -0.209517 0.558590 -0.150210 -0.012029 -0.000736 3.393325 1 images0052.ToneMapper.dst.1.RGBA.png

53 0.758301 -0.200796 0.598919 -0.161113 -0.010437 -0.000350 3.394160 1 images0053.ToneMapper.dst.1.RGBA.png

54 0.726031 -0.191921 0.637410 -0.172493 -0.009925 -0.001308 3.404023 1 images0054.ToneMapper.dst.1.RGBA.png

55 0.691972 -0.182882 0.674323 -0.181707 -0.009622 -0.000988 3.405301 1 images0055.ToneMapper.dst.1.RGBA.png

56 0.655988 -0.172569 0.709281 -0.191889 -0.008109 0.000302 3.408564 1 images0056.ToneMapper.dst.1.RGBA.png

57 0.617527 -0.163117 0.742841 -0.200600 -0.007404 -0.000193 3.413183 1 images0057.ToneMapper.dst.1.RGBA.png

58 0.577354 -0.152563 0.774501 -0.208651 -0.006278 0.000347 3.414601 1 images0058.ToneMapper.dst.1.RGBA.png

59 0.536390 -0.141015 0.803528 -0.216201 -0.004541 0.000666 3.412653 1 images0059.ToneMapper.dst.1.RGBA.png

60 0.493625 -0.129925 0.830026 -0.224745 -0.002252 0.001595 3.413136 1 images0060.ToneMapper.dst.1.RGBA.png

61 0.449518 -0.118229 0.854611 -0.231507 -0.000716 0.001938 3.411665 1 images0061.ToneMapper.dst.1.RGBA.png

62 0.404024 -0.105916 0.877050 -0.237338 0.001170 0.002122 3.410369 1 images0062.ToneMapper.dst.1.RGBA.png

63 0.357268 -0.093446 0.897085 -0.242624 0.002526 0.002822 3.407927 1 images0063.ToneMapper.dst.1.RGBA.png

64 0.310034 -0.080825 0.914481 -0.247126 0.004331 0.002657 3.408759 1 images0064.ToneMapper.dst.1.RGBA.png

65 0.262234 -0.067629 0.929295 -0.251139 0.006094 0.002159 3.407539 1 images0065.ToneMapper.dst.1.RGBA.png

66 0.213589 -0.054525 0.941489 -0.254962 0.007164 0.002044 3.405148 1 images0066.ToneMapper.dst.1.RGBA.png

67 0.164026 -0.041395 0.951278 -0.257784 0.008688 0.001537 3.403960 1 images0067.ToneMapper.dst.1.RGBA.png

68 0.113369 -0.028091 0.958507 -0.260043 0.009848 0.001381 3.403855 1 images0068.ToneMapper.dst.1.RGBA.png

69 0.062091 -0.015178 0.963355 -0.260501 0.010381 0.001324 3.400652 1 images0069.ToneMapper.dst.1.RGBA.png

70 0.011449 -0.001491 0.965360 -0.260664 0.011478 0.000764 3.399567 1 images0070.ToneMapper.dst.1.RGBA.png

71 -0.037924 0.012133 0.964685 -0.260379 0.012662 0.000140 3.399336 1 images0071.ToneMapper.dst.1.RGBA.png

72 -0.088922 0.025222 0.961153 -0.260079 0.013245 -0.000310 3.398558 1 images0072.ToneMapper.dst.1.RGBA.png

73 -0.138921 0.038521 0.955278 -0.258190 0.013832 -0.001064 3.396162 1 images0073.ToneMapper.dst.1.RGBA.png

74 -0.189083 0.051790 0.946712 -0.255543 0.014152 -0.001343 3.393647 1 images0074.ToneMapper.dst.1.RGBA.png

75 -0.238245 0.064752 0.935474 -0.252855 0.014350 -0.002493 3.394210 1 images0075.ToneMapper.dst.1.RGBA.png

76 -0.287204 0.077616 0.921675 -0.249007 0.014223 -0.003330 3.393557 1 images0076.ToneMapper.dst.1.RGBA.png

77 -0.335308 0.090245 0.905434 -0.244160 0.013263 -0.003764 3.391051 1 images0077.ToneMapper.dst.1.RGBA.png

78 -0.382214 0.102793 0.886589 -0.239386 0.013136 -0.004805 3.390514 1 images0078.ToneMapper.dst.1.RGBA.png

79 -0.428432 0.114483 0.865314 -0.233608 0.012561 -0.005842 3.389618 1 images0079.ToneMapper.dst.1.RGBA.png

80 -0.473449 0.126198 0.841547 -0.227416 0.011935 -0.006316 3.387675 1 images0080.ToneMapper.dst.1.RGBA.png

81 0.517265 -0.137311 -0.815499 0.220329 0.011291 -0.006714 3.384215 1 images0081.ToneMapper.dst.1.RGBA.png

82 0.559219 -0.148504 -0.787526 0.212188 0.010450 -0.006971 3.382028 1 images0082.ToneMapper.dst.1.RGBA.png

83 0.599766 -0.159279 -0.757229 0.203752 0.009582 -0.007468 3.381572 1 images0083.ToneMapper.dst.1.RGBA.png

84 0.637953 -0.170481 -0.725154 0.195202 0.009081 -0.007270 3.381280 1 images0084.ToneMapper.dst.1.RGBA.png

85 0.675004 -0.180571 -0.690713 0.186223 0.008240 -0.008080 3.382385 1 images0085.ToneMapper.dst.1.RGBA.png

86 0.710691 -0.189561 -0.654118 0.176394 0.007331 -0.008485 3.379871 1 images0086.ToneMapper.dst.1.RGBA.png

87 0.743799 -0.198651 -0.616245 0.165959 0.005907 -0.009271 3.380892 1 images0087.ToneMapper.dst.1.RGBA.png

88 0.775396 -0.206379 -0.576284 0.155129 0.004473 -0.009564 3.380101 1 images0088.ToneMapper.dst.1.RGBA.png

89 0.804283 -0.214540 -0.535068 0.144237 0.003538 -0.010189 3.382478 1 images0089.ToneMapper.dst.1.RGBA.png

90 0.831168 -0.221577 -0.492368 0.132806 0.002362 -0.010746 3.383433 1 images0090.ToneMapper.dst.1.RGBA.png

91 0.856215 -0.227463 -0.447721 0.121249 0.000844 -0.010417 3.381303 1 images0091.ToneMapper.dst.1.RGBA.png

92 0.878366 -0.233426 -0.402681 0.108783 -0.000980 -0.010424 3.380261 1 images0092.ToneMapper.dst.1.RGBA.png

93 0.898264 -0.238646 -0.356236 0.096261 -0.002316 -0.010649 3.380351 1 images0093.ToneMapper.dst.1.RGBA.png

94 0.915595 -0.244275 -0.308269 0.083583 -0.003603 -0.010708 3.385085 1 images0094.ToneMapper.dst.1.RGBA.png

95 0.930864 -0.247380 -0.259472 0.070495 -0.005632 -0.010460 3.383926 1 images0095.ToneMapper.dst.1.RGBA.png

96 0.943008 -0.250630 -0.211353 0.057015 -0.006826 -0.010269 3.385034 1 images0096.ToneMapper.dst.1.RGBA.png

97 0.952931 -0.252820 -0.161568 0.043591 -0.007715 -0.009777 3.386577 1 images0097.ToneMapper.dst.1.RGBA.png

98 0.959954 -0.255235 -0.111473 0.030280 -0.008485 -0.009785 3.387285 1 images0098.ToneMapper.dst.1.RGBA.png

99 0.964572 -0.256194 -0.060635 0.017003 -0.009590 -0.009375 3.388063 1 images0099.ToneMapper.dst.1.RGBA.png

100 0.966399 -0.256814 -0.010467 0.003141 -0.010643 -0.008592 3.388589 1 images0100.ToneMapper.dst.1.RGBA.png

101 0.999948 0.001519 0.010077 0.000613 -0.011314 -0.005355 3.383830 1 images0101.ToneMapper.dst.1.RGBA.png

102 0.999513 0.002212 0.031108 0.000446 -0.011357 -0.005757 3.385513 1 images0102.ToneMapper.dst.1.RGBA.png

103 0.998646 0.002349 0.051974 0.000379 -0.011420 -0.005800 3.385919 1 images0103.ToneMapper.dst.1.RGBA.png

104 0.997300 0.002328 0.073393 0.000511 -0.011683 -0.005999 3.387471 1 images0104.ToneMapper.dst.1.RGBA.png

105 0.995501 0.002451 0.094721 0.000456 -0.011557 -0.006050 3.386984 1 images0105.ToneMapper.dst.1.RGBA.png

106 0.993329 0.002866 0.115281 0.000371 -0.011902 -0.006238 3.388143 1 images0106.ToneMapper.dst.1.RGBA.png

107 0.990711 0.002580 0.135962 0.000329 -0.011921 -0.006309 3.388097 1 images0107.ToneMapper.dst.1.RGBA.png

